"FROM WAREHOUSE","TO WAREHOUSE","DEPT","CLASS","STYLE","COLOR","SIZE","QTY","Current_Time_Stamp"
2959,6900,170,6498,5570,158,1000,8,"2023-11-20.20.26.18"
2959,6900,170,6498,5570,158,2000,22,"2023-11-20.20.26.18"
2959,6900,170,6498,5570,158,3000,27,"2023-11-20.20.26.18"
2959,6900,170,6498,5570,158,4000,17,"2023-11-20.20.26.18"
2959,6900,170,6498,5570,158,5000,9,"2023-11-20.20.26.18"
2959,6900,69,2693,3359,461,5000,9,"2023-11-20.20.26.18"
2959,6900,69,2693,3359,437,5000,20,"2023-11-20.20.26.18"
2959,6900,69,2693,3359,100,1000,12,"2023-11-20.20.26.18"
2959,6900,69,2693,3359,100,4000,20,"2023-11-20.20.26.18"
2959,6900,69,2693,3359,100,5000,23,"2023-11-20.20.26.18"
2959,6900,69,2693,3359,73,1000,15,"2023-11-20.20.26.18"
2959,6900,69,2693,3359,637,6000,5,"2023-11-20.20.26.18"
2959,6900,69,2693,3359,461,6000,6,"2023-11-20.20.26.18"
2959,6900,69,2693,3359,368,6000,5,"2023-11-20.20.26.18"
2959,6900,69,2693,3359,437,6000,7,"2023-11-20.20.26.18"
2959,6900,69,2693,3359,100,6000,8,"2023-11-20.20.26.18"
2959,6900,69,2693,3241,368,5000,10,"2023-11-20.20.26.18"
2959,6900,71,7495,1303,73,2000,5,"2023-11-20.20.26.18"
2959,6900,71,7495,1303,73,3000,7,"2023-11-20.20.26.18"
2959,6900,35,2351,4069,106,1000,12,"2023-11-20.20.26.18"
2959,6900,11,119,6118,436,3332,5,"2023-11-20.20.26.18"
2959,6900,11,119,6118,436,3832,5,"2023-11-20.20.26.18"
2959,6900,150,2696,1185,437,1000,5,"2023-11-20.20.26.18"
2959,6900,75,1753,3446,732,4000,7,"2023-11-20.20.26.18"
2959,6900,75,1753,3446,354,4000,7,"2023-11-20.20.26.18"
2959,6900,75,751,3435,125,1623,5,"2023-11-20.20.26.18"
2959,6900,75,751,3435,125,1612,5,"2023-11-20.20.26.18"
2959,6900,75,1754,3370,570,1000,7,"2023-11-20.20.26.18"
2959,6900,75,1754,3370,570,2000,17,"2023-11-20.20.26.18"
2959,6900,75,1754,3370,570,3000,24,"2023-11-20.20.26.18"
2959,6900,75,1754,3370,570,4000,19,"2023-11-20.20.26.18"
2959,6900,75,1754,3370,570,5000,7,"2023-11-20.20.26.18"
2959,6900,75,1756,3808,73,6000,6,"2023-11-20.20.26.18"
2959,6900,75,1756,3808,73,900,5,"2023-11-20.20.26.18"
2959,6900,75,1754,3540,574,1000,11,"2023-11-20.20.26.18"
2959,6900,75,753,3654,574,4000,5,"2023-11-20.20.26.18"
2959,6900,75,754,3726,732,1000,5,"2023-11-20.20.26.18"
2959,6900,75,754,3726,354,1000,5,"2023-11-20.20.26.18"
2959,6900,75,752,3721,574,5000,13,"2023-11-20.20.26.18"
2959,6900,75,752,3721,354,5000,5,"2023-11-20.20.26.18"
2959,6900,75,752,3718,100,1000,5,"2023-11-20.20.26.18"
2959,6900,75,752,3718,100,4000,8,"2023-11-20.20.26.18"
2959,6900,75,752,3718,100,5000,5,"2023-11-20.20.26.18"
2959,6900,75,754,3727,73,5000,5,"2023-11-20.20.26.18"
2959,6900,75,752,3839,158,1000,5,"2023-11-20.20.26.18"
2959,6900,75,752,3839,158,2000,16,"2023-11-20.20.26.18"
2959,6900,75,752,3839,158,4000,13,"2023-11-20.20.26.18"
2959,6900,75,1753,3840,158,2000,10,"2023-11-20.20.26.18"
2959,6900,75,751,3738,574,1613,10,"2023-11-20.20.26.18"
2959,6900,75,752,3724,73,2000,6,"2023-11-20.20.26.18"
2959,6900,69,2693,3241,368,6000,8,"2023-11-20.20.26.18"
2959,6900,69,2693,3241,570,6000,11,"2023-11-20.20.26.18"
2959,6900,37,2372,8017,334,2000,54,"2023-11-20.20.26.18"
2959,6900,37,2372,8017,334,3000,55,"2023-11-20.20.26.18"
2959,6900,15,2153,5682,600,3000,19,"2023-11-20.20.26.18"
2959,6900,15,2153,5688,300,1000,6,"2023-11-20.20.26.18"
2959,6900,15,2153,5688,300,2000,12,"2023-11-20.20.26.18"
2959,6900,15,2153,5688,300,5000,14,"2023-11-20.20.26.18"
2959,6900,34,1341,9652,3,2000,7,"2023-11-20.20.26.18"
2959,6900,34,1341,9652,3,3000,6,"2023-11-20.20.26.18"
2959,6900,34,1341,9652,106,2000,8,"2023-11-20.20.26.18"
2959,6900,34,1341,9652,106,3000,7,"2023-11-20.20.26.18"
2959,6900,34,1341,9652,309,2000,9,"2023-11-20.20.26.18"
2959,6900,34,1341,9652,309,3000,7,"2023-11-20.20.26.18"
2959,6900,35,359,4150,309,3000,7,"2023-11-20.20.26.18"
2959,6900,35,355,4222,309,6000,6,"2023-11-20.20.26.18"
2959,6900,45,1457,1743,615,4000,66,"2023-11-20.20.26.18"
2959,6900,45,1457,1743,615,5000,33,"2023-11-20.20.26.18"
2959,6900,45,1457,1742,300,3000,42,"2023-11-20.20.26.18"
2959,6900,45,1457,1742,20,3000,117,"2023-11-20.20.26.18"
2959,6900,78,5495,2704,607,2000,8,"2023-11-20.20.26.18"
2959,6900,78,5495,2704,607,4000,6,"2023-11-20.20.26.18"
2959,6900,78,5495,2704,125,2000,11,"2023-11-20.20.26.18"
2959,6900,78,5495,2704,125,3000,13,"2023-11-20.20.26.18"
2959,6900,78,5495,2704,125,4000,8,"2023-11-20.20.26.18"
2959,6900,43,1436,3794,110,8002,22,"2023-11-20.20.26.18"
2959,6900,43,1436,3794,110,8008,19,"2023-11-20.20.26.18"
2959,6900,43,1436,3794,110,8101,22,"2023-11-20.20.26.18"
2959,6900,75,752,3500,100,1000,27,"2023-11-20.20.26.18"
2959,6900,75,752,3500,100,2000,84,"2023-11-20.20.26.18"
2959,6900,75,752,3500,100,3000,97,"2023-11-20.20.26.18"
2959,6900,75,752,3500,100,4000,69,"2023-11-20.20.26.18"
2959,6900,75,752,3500,100,5000,32,"2023-11-20.20.26.18"
2959,6900,75,752,3500,100,6000,11,"2023-11-20.20.26.18"
2959,6900,75,752,3500,575,2000,118,"2023-11-20.20.26.18"
2959,6900,75,752,3500,575,3000,107,"2023-11-20.20.26.18"
2959,6900,75,752,3500,575,4000,64,"2023-11-20.20.26.18"
2959,6900,75,752,3500,575,5000,18,"2023-11-20.20.26.18"
2959,6900,75,752,3500,575,6000,12,"2023-11-20.20.26.18"
2959,6900,75,751,3787,732,1611,13,"2023-11-20.20.26.18"
2959,6900,75,751,3787,732,1612,19,"2023-11-20.20.26.18"
2959,6900,75,751,3787,732,1613,40,"2023-11-20.20.26.18"
2959,6900,75,751,3787,732,1614,45,"2023-11-20.20.26.18"
2959,6900,75,751,3787,732,1615,18,"2023-11-20.20.26.18"
2959,6900,75,751,3787,732,1623,25,"2023-11-20.20.26.18"
2959,6900,75,751,3787,732,1624,21,"2023-11-20.20.26.18"
2959,6900,75,753,3453,518,1000,60,"2023-11-20.20.26.18"
2959,6900,75,753,3453,518,2000,62,"2023-11-20.20.26.18"
2959,6900,75,753,3453,518,3000,114,"2023-11-20.20.26.18"
2959,6900,75,753,3453,518,4000,60,"2023-11-20.20.26.18"
2959,6900,75,753,3453,518,5000,22,"2023-11-20.20.26.18"
2959,6900,75,753,3453,518,6000,9,"2023-11-20.20.26.18"
2959,6900,43,3435,3876,136,8014,23,"2023-11-20.20.26.18"
2959,6900,43,3435,3876,136,8018,11,"2023-11-20.20.26.18"
2959,6900,43,3435,3876,136,8101,31,"2023-11-20.20.26.18"
2959,6900,32,329,4744,823,5000,15,"2023-11-20.20.26.18"
2959,6900,32,329,4743,62,4000,67,"2023-11-20.20.26.18"
2959,6900,32,329,4743,62,5000,12,"2023-11-20.20.26.18"
2959,6900,32,329,4743,300,1000,22,"2023-11-20.20.26.18"
